LogLearning: Display: Training Process: Iter:       0 | Avg Reward: 0.69226 | Avg Return: 966.50607 | Avg Value: 6.29543 | Avg Episode Length: 1428.57143
LogLearning: Display: Training Process: Iter:      78 | Avg Reward: 0.54775 | Avg Return: 642.06155 | Avg Value: 13.27236 | Avg Episode Length: 1111.11111
LogLearning: Display: Training Process: Iter:     156 | Avg Reward: 0.52786 | Avg Return: 701.83112 | Avg Value: 20.25591 | Avg Episode Length: 1250.00000
LogLearning: Display: Training Process: Iter:     234 | Avg Reward: 0.52032 | Avg Return: 708.74821 | Avg Value: 26.73755 | Avg Episode Length: 1250.00000
LogLearning: Display: Training Process: Iter:     312 | Avg Reward: 0.31665 | Avg Return: 619.31610 | Avg Value: 32.21280 | Avg Episode Length: 1111.11111
LogLearning: Display: Training Process: Iter:     390 | Avg Reward: 0.56417 | Avg Return: 875.53244 | Avg Value: 38.16215 | Avg Episode Length: 1428.57143
LogLearning: Display: Training Process: Iter:     468 | Avg Reward: 0.43145 | Avg Return: 558.34191 | Avg Value: 41.83455 | Avg Episode Length: 1111.11111
LogLearning: Display: Training Process: Iter:     546 | Avg Reward: 0.41645 | Avg Return: 943.96926 | Avg Value: 47.46460 | Avg Episode Length: 1428.57143
LogLearning: Display: Training Process: Iter:     624 | Avg Reward: 0.51915 | Avg Return: 747.73639 | Avg Value: 50.94785 | Avg Episode Length: 1250.00000
LogLearning: Display: Training Process: Iter:     702 | Avg Reward: 0.49016 | Avg Return: 457.30175 | Avg Value: 54.03326 | Avg Episode Length: 833.33333
LogLearning: Display: Training Process: Iter:     780 | Avg Reward: 0.25315 | Avg Return: 424.17020 | Avg Value: 56.48688 | Avg Episode Length: 909.09091
LogLearning: Display: Training Process: Iter:     858 | Avg Reward: 0.60311 | Avg Return: 919.06749 | Avg Value: 61.06820 | Avg Episode Length: 1428.57143
LogLearning: Display: Training Process: Iter:     936 | Avg Reward: 0.61060 | Avg Return: 715.47706 | Avg Value: 64.14977 | Avg Episode Length: 1111.11111
LogLearning: Display: Training Process: Iter:    1014 | Avg Reward: 0.39565 | Avg Return: 777.33985 | Avg Value: 66.30244 | Avg Episode Length: 1250.00000
LogLearning: Display: Training Process: Iter:    1092 | Avg Reward: 0.50411 | Avg Return: 651.82216 | Avg Value: 68.36116 | Avg Episode Length: 1111.11111
LogLearning: Display: Training Process: Iter:    1170 | Avg Reward: 0.60255 | Avg Return: 1034.54525 | Avg Value: 70.84168 | Avg Episode Length: 1666.66667
LogLearning: Display: Training Process: Iter:    1248 | Avg Reward: 0.54439 | Avg Return: 835.86717 | Avg Value: 72.73237 | Avg Episode Length: 1428.57143
LogLearning: Display: Training Process: Iter:    1326 | Avg Reward: 0.63918 | Avg Return: 932.66233 | Avg Value: 74.81640 | Avg Episode Length: 1428.57143
LogLearning: Display: Training Process: Iter:    1404 | Avg Reward: 0.64721 | Avg Return: 931.82309 | Avg Value: 76.37453 | Avg Episode Length: 1428.57143
LogLearning: Display: Training Process: Iter:    1482 | Avg Reward: 0.29911 | Avg Return: 773.38176 | Avg Value: 77.51893 | Avg Episode Length: 1250.00000
LogLearning: Display: Training Process: Iter:    1560 | Avg Reward: 0.48239 | Avg Return: 683.98626 | Avg Value: 78.77416 | Avg Episode Length: 1111.11111
LogLearning: Display: Training Process: Iter:    1638 | Avg Reward: 0.55116 | Avg Return: 649.44315 | Avg Value: 79.88556 | Avg Episode Length: 1000.00000
LogLearning: Display: Training Process: Iter:    1716 | Avg Reward: 0.61007 | Avg Return: 936.33959 | Avg Value: 80.95716 | Avg Episode Length: 1428.57143
LogLearning: Display: Training Process: Iter:    1794 | Avg Reward: 0.31965 | Avg Return: 563.30000 | Avg Value: 80.98174 | Avg Episode Length: 1111.11111
LogLearning: Display: Training Process: Iter:    1872 | Avg Reward: 0.55250 | Avg Return: 808.56421 | Avg Value: 82.75041 | Avg Episode Length: 1250.00000
LogLearning: Display: Training Process: Iter:    1950 | Avg Reward: 0.68645 | Avg Return: 860.08001 | Avg Value: 83.93165 | Avg Episode Length: 1250.00000
LogLearning: Display: Training Process: Iter:    2028 | Avg Reward: 0.56783 | Avg Return: 778.55060 | Avg Value: 84.22249 | Avg Episode Length: 1250.00000
LogLearning: Display: Training Process: Iter:    2106 | Avg Reward: 0.52935 | Avg Return: 632.88964 | Avg Value: 84.15000 | Avg Episode Length: 1111.11111
LogLearning: Display: Training Process: Iter:    2184 | Avg Reward: 0.50080 | Avg Return: 563.97359 | Avg Value: 84.41428 | Avg Episode Length: 1111.11111
LogLearning: Display: Training Process: Iter:    2262 | Avg Reward: 0.36387 | Avg Return: 504.43029 | Avg Value: 84.69041 | Avg Episode Length: 1000.00000
LogLearning: Display: Training Process: Iter:    2340 | Avg Reward: 0.53176 | Avg Return: 749.17131 | Avg Value: 85.73244 | Avg Episode Length: 1428.57143
LogLearning: Display: Training Process: Iter:    2418 | Avg Reward: 0.18350 | Avg Return: 649.38462 | Avg Value: 86.15028 | Avg Episode Length: 1111.11111
LogLearning: Display: Training Process: Iter:    2496 | Avg Reward: 0.50192 | Avg Return: 775.63391 | Avg Value: 86.73357 | Avg Episode Length: 1250.00000
LogLearning: Display: Training Process: Iter:    2574 | Avg Reward: 0.47074 | Avg Return: 638.43876 | Avg Value: 86.39951 | Avg Episode Length: 1250.00000
LogLearning: Display: Training Process: Iter:    2652 | Avg Reward: 0.50251 | Avg Return: 647.71256 | Avg Value: 86.33166 | Avg Episode Length: 1250.00000
LogLearning: Display: Training Process: Iter:    2730 | Avg Reward: 0.43157 | Avg Return: 487.30959 | Avg Value: 86.16520 | Avg Episode Length: 1000.00000
LogLearning: Display: Training Process: Iter:    2808 | Avg Reward: 0.42772 | Avg Return: 343.46326 | Avg Value: 83.98146 | Avg Episode Length: 833.33333
LogLearning: Display: Training Process: Iter:    2886 | Avg Reward: 0.22254 | Avg Return: 382.52549 | Avg Value: 84.04378 | Avg Episode Length: 909.09091
LogLearning: Display: Training Process: Iter:    2964 | Avg Reward: 0.36092 | Avg Return: 285.16479 | Avg Value: 82.59192 | Avg Episode Length: 769.23077
LogLearning: Display: Training Process: Iter:    3042 | Avg Reward: 0.28759 | Avg Return: 264.92596 | Avg Value: 81.37025 | Avg Episode Length: 714.28571
LogLearning: Display: Training Process: Iter:    3120 | Avg Reward: 0.43710 | Avg Return: 339.05274 | Avg Value: 82.05001 | Avg Episode Length: 769.23077
LogLearning: Display: Training Process: Iter:    3198 | Avg Reward: 0.50488 | Avg Return: 368.05853 | Avg Value: 81.04455 | Avg Episode Length: 769.23077
LogLearning: Display: Training Process: Iter:    3276 | Avg Reward: 0.44216 | Avg Return: 431.21841 | Avg Value: 80.27818 | Avg Episode Length: 909.09091
LogLearning: Display: Training Process: Iter:    3354 | Avg Reward: 0.51153 | Avg Return: 620.98250 | Avg Value: 80.60920 | Avg Episode Length: 1111.11111
LogLearning: Display: Training Process: Iter:    3432 | Avg Reward: 0.52572 | Avg Return: 462.08365 | Avg Value: 80.55969 | Avg Episode Length: 833.33333
LogLearning: Display: Training Process: Iter:    3510 | Avg Reward: 0.50592 | Avg Return: 430.69978 | Avg Value: 79.55100 | Avg Episode Length: 833.33333
