LogLearning: Display: Training Process: Iter:       0 | Avg Reward: 0.68124 | Avg Return: 162.26553 | Avg Value: 7.05013 | Avg Episode Length: 208.33333
LogLearning: Display: Training Process: Iter:      78 | Avg Reward: 0.63593 | Avg Return: 144.91250 | Avg Value: 14.42686 | Avg Episode Length: 208.33333
LogLearning: Display: Training Process: Iter:     156 | Avg Reward: 0.75683 | Avg Return: 174.92924 | Avg Value: 22.68846 | Avg Episode Length: 208.33333
LogLearning: Display: Training Process: Iter:     234 | Avg Reward: 0.67175 | Avg Return: 160.22548 | Avg Value: 28.27802 | Avg Episode Length: 217.39130
LogLearning: Display: Training Process: Iter:     312 | Avg Reward: 0.69383 | Avg Return: 157.30313 | Avg Value: 34.74706 | Avg Episode Length: 204.08163
LogLearning: Display: Training Process: Iter:     390 | Avg Reward: 0.78470 | Avg Return: 179.81300 | Avg Value: 40.84207 | Avg Episode Length: 212.76596
LogLearning: Display: Training Process: Iter:     468 | Avg Reward: 0.68568 | Avg Return: 146.57674 | Avg Value: 44.92111 | Avg Episode Length: 200.00000
LogLearning: Display: Training Process: Iter:     546 | Avg Reward: 0.74361 | Avg Return: 168.51356 | Avg Value: 49.60503 | Avg Episode Length: 217.39130
LogLearning: Display: Training Process: Iter:     624 | Avg Reward: 0.80206 | Avg Return: 174.17852 | Avg Value: 53.86411 | Avg Episode Length: 212.76596
LogLearning: Display: Training Process: Iter:     702 | Avg Reward: 0.75485 | Avg Return: 169.43459 | Avg Value: 57.28355 | Avg Episode Length: 212.76596
LogLearning: Display: Training Process: Iter:     780 | Avg Reward: 0.70629 | Avg Return: 164.29983 | Avg Value: 60.21006 | Avg Episode Length: 208.33333
LogLearning: Display: Training Process: Iter:     858 | Avg Reward: 0.70992 | Avg Return: 153.93681 | Avg Value: 63.36940 | Avg Episode Length: 200.00000
LogLearning: Display: Training Process: Iter:     936 | Avg Reward: 0.74315 | Avg Return: 164.19117 | Avg Value: 66.20371 | Avg Episode Length: 208.33333
LogLearning: Display: Training Process: Iter:    1014 | Avg Reward: 0.72478 | Avg Return: 160.36260 | Avg Value: 68.80288 | Avg Episode Length: 208.33333
LogLearning: Display: Training Process: Iter:    1092 | Avg Reward: 0.74863 | Avg Return: 164.95867 | Avg Value: 71.07978 | Avg Episode Length: 208.33333
LogLearning: Display: Training Process: Iter:    1170 | Avg Reward: 0.60722 | Avg Return: 130.31440 | Avg Value: 72.28158 | Avg Episode Length: 192.30769
LogLearning: Display: Training Process: Iter:    1248 | Avg Reward: 0.71161 | Avg Return: 159.81322 | Avg Value: 74.82304 | Avg Episode Length: 208.33333
LogLearning: Display: Training Process: Iter:    1326 | Avg Reward: 0.71851 | Avg Return: 153.80559 | Avg Value: 76.60370 | Avg Episode Length: 204.08163
LogLearning: Display: Training Process: Iter:    1404 | Avg Reward: 0.75742 | Avg Return: 167.65914 | Avg Value: 78.74159 | Avg Episode Length: 208.33333
LogLearning: Display: Training Process: Iter:    1482 | Avg Reward: 0.58786 | Avg Return: 122.88186 | Avg Value: 79.08576 | Avg Episode Length: 192.30769
LogLearning: Display: Training Process: Iter:    1560 | Avg Reward: 0.89149 | Avg Return: 188.99583 | Avg Value: 82.29864 | Avg Episode Length: 204.08163
LogLearning: Display: Training Process: Iter:    1638 | Avg Reward: 0.76530 | Avg Return: 171.00407 | Avg Value: 82.50599 | Avg Episode Length: 212.76596
LogLearning: Display: Training Process: Iter:    1716 | Avg Reward: 0.75614 | Avg Return: 171.62836 | Avg Value: 83.63863 | Avg Episode Length: 212.76596
LogLearning: Display: Training Process: Iter:    1794 | Avg Reward: 0.72303 | Avg Return: 156.17336 | Avg Value: 84.39234 | Avg Episode Length: 204.08163
LogLearning: Display: Training Process: Iter:    1872 | Avg Reward: 0.79331 | Avg Return: 197.84724 | Avg Value: 85.87556 | Avg Episode Length: 232.55814
LogLearning: Display: Training Process: Iter:    1950 | Avg Reward: 0.79490 | Avg Return: 183.50457 | Avg Value: 86.69324 | Avg Episode Length: 222.22222
LogLearning: Display: Training Process: Iter:    2028 | Avg Reward: 0.82422 | Avg Return: 175.51678 | Avg Value: 87.25926 | Avg Episode Length: 212.76596
LogLearning: Display: Training Process: Iter:    2106 | Avg Reward: 0.74033 | Avg Return: 149.85413 | Avg Value: 87.53004 | Avg Episode Length: 196.07843
LogLearning: Display: Training Process: Iter:    2184 | Avg Reward: 0.58631 | Avg Return: 129.57797 | Avg Value: 86.54621 | Avg Episode Length: 200.00000
LogLearning: Display: Training Process: Iter:    2262 | Avg Reward: 0.67479 | Avg Return: 148.48699 | Avg Value: 88.39969 | Avg Episode Length: 204.08163
LogLearning: Display: Training Process: Iter:    2340 | Avg Reward: 0.68086 | Avg Return: 153.00296 | Avg Value: 88.74520 | Avg Episode Length: 208.33333
LogLearning: Display: Training Process: Iter:    2418 | Avg Reward: 1.15082 | Avg Return: 204.88960 | Avg Value: 90.99053 | Avg Episode Length: 212.76596
LogLearning: Display: Training Process: Iter:    2496 | Avg Reward: 0.73122 | Avg Return: 174.63555 | Avg Value: 89.94886 | Avg Episode Length: 217.39130
LogLearning: Display: Training Process: Iter:    2574 | Avg Reward: 0.72138 | Avg Return: 163.50607 | Avg Value: 90.40022 | Avg Episode Length: 208.33333
LogLearning: Display: Training Process: Iter:    2652 | Avg Reward: 0.87330 | Avg Return: 213.16908 | Avg Value: 91.46595 | Avg Episode Length: 227.27273
LogLearning: Display: Training Process: Iter:    2730 | Avg Reward: 0.77900 | Avg Return: 179.99873 | Avg Value: 91.32914 | Avg Episode Length: 217.39130
LogLearning: Display: Training Process: Iter:    2808 | Avg Reward: 0.80032 | Avg Return: 171.94114 | Avg Value: 91.56776 | Avg Episode Length: 208.33333
LogLearning: Display: Training Process: Iter:    2886 | Avg Reward: 0.72599 | Avg Return: 156.88554 | Avg Value: 91.41858 | Avg Episode Length: 204.08163
LogLearning: Display: Training Process: Iter:    2964 | Avg Reward: 0.74792 | Avg Return: 167.06037 | Avg Value: 92.11075 | Avg Episode Length: 208.33333
LogLearning: Display: Training Process: Iter:    3042 | Avg Reward: 0.90944 | Avg Return: 188.47215 | Avg Value: 93.74012 | Avg Episode Length: 200.00000
LogLearning: Display: Training Process: Iter:    3120 | Avg Reward: 0.76385 | Avg Return: 170.34126 | Avg Value: 92.30957 | Avg Episode Length: 217.39130
